symbol,name,price,price_change,volume,market_cap,total_value,percentage_change,chart_link
vfg,CTCP Khử trùng Việt Nam,74.90,-0.60,"26,600","47,057","41,704,404","3,148",https://www.cophieu68.vn/chart/chart.php?id=vfg
mig,Tổng Công ty cổ phần Bảo hiểm Quân Đội,18,0.05,"541,600","412,788","198,573,375","3,099",https://www.cophieu68.vn/chart/chart.php?id=mig
sgt,CTCP Công nghệ Viễn Thông Sài Gòn,20.90,0,"59,700","72,812","148,003,208","3,093",https://www.cophieu68.vn/chart/chart.php?id=sgt
tvs,CTCP Chứng khoán Thiên Việt,18.65,0.25,"99,100","280,888","166,995,274","3,073",https://www.cophieu68.vn/chart/chart.php?id=tvs
fmc,CTCP Thực phẩm Sao Ta,46.80,0,"53,900","53,922","65,406,519","3,062",https://www.cophieu68.vn/chart/chart.php?id=fmc
pgd,CTCP Phân phối khí thấp áp Dầu khí Việt Nam,30.70,0.05,"1,200","5,459","98,998,266","3,034",https://www.cophieu68.vn/chart/chart.php?id=pgd
vpd,CTCP Phát triển Điện lực Việt Nam,27.55,-0.15,"4,500","14,277","106,589,629","2,953",https://www.cophieu68.vn/chart/chart.php?id=vpd
nct,CTCP Dịch vụ Hàng hóa Nội Bài,113,0.60,"27,700","9,534","26,166,940","2,941",https://www.cophieu68.vn/chart/chart.php?id=nct
tdp,CTCP Thuận Đức,33.20,-0.10,"102,300","108,030","88,222,250","2,938",https://www.cophieu68.vn/chart/chart.php?id=tdp
asm,CTCP Tập đoàn Sao Mai,8.16,0.24,"1,365,500","1,858,480","370,178,250","2,932",https://www.cophieu68.vn/chart/chart.php?id=asm
dpg,CTCP Đạt Phương,46.20,0.45,"517,600","926,507","62,999,554","2,882",https://www.cophieu68.vn/chart/chart.php?id=dpg
ral,CTCP Bóng đèn Phích nước Rạng Đông,119.80,-0.10,"9,800","18,108","23,547,419","2,823",https://www.cophieu68.vn/chart/chart.php?id=ral
dhc,CTCP Đông Hải Bến Tre,34.90,0.55,"240,000","310,681","80,493,048","2,765",https://www.cophieu68.vn/chart/chart.php?id=dhc
dmc,CTCP Xuất nhập khẩu Y Tế Domesco,77.20,-1.80,"5,000","3,385","34,727,465","2,743",https://www.cophieu68.vn/chart/chart.php?id=dmc
sam,CTCP SAM HOLDINGS,7.09,0.01,"361,700","625,482","379,960,971","2,690",https://www.cophieu68.vn/chart/chart.php?id=sam
hhs,CTCP Đầu tư Dịch vụ Hoàng Huy,7.30,0.06,"1,249,900","2,145,164","367,985,968","2,664",https://www.cophieu68.vn/chart/chart.php?id=hhs
pgi,Tổng Công ty cổ phần Bảo hiểm Petrolimex,22.55,-1.45,"1,300","2,739","110,783,906","2,656",https://www.cophieu68.vn/chart/chart.php?id=pgi
stk,CTCP Sợi Thế Kỷ,26.35,-0.35,"122,200","105,588","96,636,924","2,580",https://www.cophieu68.vn/chart/chart.php?id=stk
shi,CTCP Quốc tế Sơn Hà,15.35,-0.45,"276,400","407,398","162,176,449","2,562",https://www.cophieu68.vn/chart/chart.php?id=shi
ast,CTCP Dịch vụ Hàng không Taseco,56.60,0.20,"10,900","19,234","45,000,000","2,538",https://www.cophieu68.vn/chart/chart.php?id=ast
bmi,Tổng Công ty cổ phần Bảo Minh,21,0,"125,500","214,445","132,643,949","2,532",https://www.cophieu68.vn/chart/chart.php?id=bmi
elc,CTCP Đầu tư Phát triển Công nghệ Điện tử - Viễn thông,30.20,-0.10,"769,500","1,035,164","83,290,077","2,524",https://www.cophieu68.vn/chart/chart.php?id=elc
tbc,CTCP Thủy điện Thác Bà,40,0.35,100,"2,949","63,500,000","2,518",https://www.cophieu68.vn/chart/chart.php?id=tbc
agg,CTCP Đầu tư và Phát triển Bất động sản An Gia,16.05,0,"468,100","794,982","162,528,081","2,510",https://www.cophieu68.vn/chart/chart.php?id=agg
bfc,CTCP Phân bón Bình Điền,42.70,-1,"750,300","659,037","57,167,993","2,498",https://www.cophieu68.vn/chart/chart.php?id=bfc
pet,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,23.40,0.30,"715,700","845,139","107,334,831","2,479",https://www.cophieu68.vn/chart/chart.php?id=pet
khg,Công ty Cổ phần Bất động sản Khải Hoàn Land,5.33,0.03,"3,868,000","3,753,326","449,435,205","2,382",https://www.cophieu68.vn/chart/chart.php?id=khg
fcn,CTCP FECON,15.10,0,"1,728,700","1,028,494","157,439,005","2,377",https://www.cophieu68.vn/chart/chart.php?id=fcn
hbc,CTCP Tập đoàn Xây dựng Hòa Bình,6.80,0,"1,849,900","1,449,822","347,213,270","2,361",https://www.cophieu68.vn/chart/chart.php?id=hbc
ksb,CTCP Khoáng sản và Xây dựng Bình Dương,20.35,0.20,"4,044,600","1,654,343","114,779,103","2,313",https://www.cophieu68.vn/chart/chart.php?id=ksb
trc,CTCP Cao su Tây Ninh,81,2.90,"267,000","67,620","30,000,000","2,312",https://www.cophieu68.vn/chart/chart.php?id=trc
vos,CTCP Vận tải Biển Việt Nam,16.25,-0.15,"2,514,700","2,759,274","140,000,000","2,296",https://www.cophieu68.vn/chart/chart.php?id=vos
